,Trap,Latitude,Longitude,weight_1,weight_2
0,T002,41.95469,-87.800991,0.7245347987225268,0.27546520127747315
1,T007,41.994991,-87.769279,0.7461471131998717,0.25385288680012824
2,T015,41.974089,-87.824812,0.8464834180831929,0.153516581916807
3,T045,41.9216,-87.666455,0.3332606916749517,0.6667393083250482
4,T046,41.891118,-87.654491,0.23250049233585177,0.7674995076641483
5,T048,41.867108,-87.654224,0.16653013963686836,0.8334698603631315
6,T049,41.896282,-87.655232,0.24802625201283363,0.7519737479871664
7,T050,41.919343,-87.694259,0.34387971707552256,0.6561202829244775
8,T054,41.921965,-87.632085,0.3222582967096121,0.6777417032903879
9,T086,41.688324,-87.676709,0.08864396001820453,0.9113560399817955
10,T091,41.862292,-87.64886,0.15821257817706855,0.8417874218229314
11,T094,41.720848,-87.666014,0.06799918365123367,0.9320008163487663
12,T096,41.731922,-87.677512,0.05401793583243109,0.9459820641675688
13,T129,41.891126,-87.61156,0.24408764142804118,0.7559123585719588
14,T143,41.999129,-87.795585,0.8153884908129577,0.1846115091870424
15,T148,42.01743,-87.687769,0.621937022010928,0.37806297798907196
16,T153,41.907645,-87.760886,0.3807438559565457,0.6192561440434544
17,T159,41.732984,-87.649642,0.0710635152291845,0.9289364847708156
18,T009,41.981964,-87.812827,0.8313714896577808,0.16862851034221915
19,T011,41.944869,-87.832763,0.7807965414230874,0.21920345857691256
20,T016,42.011601,-87.811506,0.8616736642640103,0.1383263357359897
21,T019,41.94983,-87.698457,0.4653690621272205,0.5346309378727794
22,T025,41.979243,-87.750938,0.6663464113081629,0.33365358869183714
23,T028,41.986921,-87.689778,0.5631698257458341,0.436830174254166
24,T031,41.801498,-87.763416,0.00581990499096895,0.9941800950090309
25,T033,41.906638,-87.701431,0.29778109221387683,0.7022189077861233
26,T089,41.723195,-87.64997,0.07616076187329866,0.9238392381267012
27,T090,41.868077,-87.666901,0.16251418684668226,0.8374858131533177
28,T092,41.869216,-87.627561,0.18683439382741326,0.8131656061725867
29,T135,41.662014,-87.724608,0.10461350193502095,0.8953864980649789
30,T141,41.961743,-87.76007,0.6352279851150514,0.36477201488494865
31,T142,41.953067,-87.776792,0.6480284171289193,0.35197158287108066
32,T145,41.878114,-87.629798,0.20595634159837964,0.7940436584016204
33,T146,41.958271,-87.702575,0.5010365013181729,0.49896349868182716
34,T147,41.932094,-87.700117,0.4007253755728037,0.5992746244271964
35,T149,41.994469,-87.667736,0.5477324058895634,0.45226759411043654
36,T150,42.006858,-87.675919,0.584887822618766,0.41511217738123385
37,T151,41.916265,-87.800515,0.533642033573016,0.466357966426984
38,T152,41.846075,-87.716277,0.08203036216257727,0.9179696378374228
39,T154,41.918705,-87.752329,0.42314305250039475,0.5768569474996053
40,T158,41.682587,-87.707973,0.08555796314550455,0.9144420368544954
41,T162,41.725517,-87.614258,0.09948621659218128,0.9005137834078186
42,T218,41.948167,-87.730698,0.5151965999505547,0.48480340004944533
43,T220,41.963976,-87.69181,0.502596262811452,0.4974037371885481
44,T001,41.953705,-87.733974,0.5436280837921388,0.4563719162078612
45,T003,41.964242,-87.757639,0.6376044505683834,0.36239554943161656
46,T006,41.990284,-87.797127,0.8063288340331372,0.19367116596686287
