index,Station,Date,Tavg,PrecipTotal,StnPressure,ResultDir,AvgSpeed,Sunlight,MIFG,TS,SQ,GR,VCFG,FG+,SN,FG,VCTS,BCFG,BR,RA,FU,DZ,TSRA,HZ
0,1,2007-05-01,66.5,0.0,29.1,27,9.2,14.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2007-05-01,68.0,0.0,29.18,25,9.6,14.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2007-05-02,50.5,0.0,29.38,4,13.4,14.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,2007-05-02,51.5,0.0,29.44,2,13.4,14.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,1,2007-05-03,56.0,0.0,29.39,7,11.9,14.083333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2007-05-03,57.5,0.0,29.46,6,13.2,14.083333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,2007-05-04,57.5,0.0,29.31,8,10.8,14.133333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2,2007-05-04,64.5,0.0,29.36,7,10.4,14.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2007-05-05,59.5,0.0,29.4,7,12.0,14.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,2007-05-05,60.0,0.0,29.46,7,11.5,14.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2007-05-06,58.5,0.0,29.57,11,15.0,14.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2007-05-06,60.0,0.0,29.62,10,14.5,14.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2007-05-07,65.0,0.0,29.38,18,10.5,14.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,2,2007-05-07,67.0,0.0,29.44,17,9.9,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2007-05-08,68.0,0.0,29.29,11,5.8,14.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,2,2007-05-08,70.0,0.0,29.36,8,5.4,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,2007-05-09,69.0,0.13,29.21,9,6.2,14.333333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17,2,2007-05-09,69.5,0.02,29.28,7,5.9,14.333333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,1,2007-05-10,70.0,0.0,29.2,17,4.1,14.366666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2,2007-05-10,71.0,0.0,29.26,9,3.9,14.366666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,1,2007-05-11,60.5,0.0,29.33,3,12.9,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
